Internal catalogue id,Name (transliteration),Alternative names,Language,Script,Provenance note,External catalogue ids,Condition,Lines per folio/page,Length (cm),Height (cm),Date of copying,Material,Illustrations,Remarks,Photos available?,Text available?
ochs_000_005_209_asa_dp_no_5181_herukasya,herukasya sāṃkṣipta trisamādhi sukhākhyāna pūjāvidhi,herukasya sāṃkṣipta trisamādhi sukhākhyāna pūjāvidhi,Sanskrit,Newa,ASA Archives,"dp_no: 5181, cd_no: ASK_BL-116, ask_no: babi 0125",NA,9,46.2,13.8,NA,"Paper, coat of HARTALA",NA,NA,yes,no
ochs_000_005_210_asa_dp_no_5182_gosrmgaparvata,gośṛṃgaparvata svayambhū caitya,gośṛṃgaparvata svayambhū caitya,Sanskrit,Newa,ASA Archives,"dp_no: 5182, cd_no: ASK_BL-116, ask_no: bama 01",NA,6/7,36.8,9,NA,"Paper, coat of HARTALA on front side & back side",NA,NA,yes,no
ochs_000_005_211_asa_dp_no_5183_svayambhu,svayambhu utpattī kathā,svayambhu utpattī kathā,Newa,Newa,ASA Archives,"dp_no: 5183, cd_no: ASK_BL-116, ask_no: bama 04",NA,7,37.5,11,NS991,"Paper, coat of HARTALA",NA,NA,yes,no
ochs_000_005_212_asa_dp_no_5184_dharani,dhāraṇī pucaḥ,dhāraṇī pucaḥ,Sanskrit,Newa,ASA Archives,"dp_no: 5184, cd_no: ASK_BL-116, ask_no: bama 011",NA,7,53.3,10,NA,"Paper, coat of HARTALA",NA,NA,yes,no
ochs_000_005_213_asa_dp_no_5185_astasahasrika,aṣṭasāhasrikā prajJāpāramitā,aṣṭasāhasrikā prajJāpāramitā,Sanskrit,Newa,ASA Archives,"dp_no: 5185, cd_no: ASK_BL-116, ask_no: basU 01",NA,10,42,13.5,NS998,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_214_asa_dp_no_5186_astasahasrika,aṣṭasāhasrikā prajJāpāramitā,aṣṭasāhasrikā prajJāpāramitā,Newa,Devanagari,ASA Archives,"dp_no: 5186, cd_no: ASK_BL-117, ask_no: basU 02",NA,11,43,42.8,NS1089,"Paper, coat of HARTALA",NA,Style: banded,yes,no
ochs_000_005_215_asa_dp_no_5187_astasahasrika,aṣṭasāhasrikā prajJāpāramitā,aṣṭasāhasrikā prajJāpāramitā,Sanskrit,Newa,ASA Archives,"dp_no: 5187, cd_no: ASK_BL-117, ask_no: basU 03",NA,7,47.4,13,NA,"Paper, coat of HARTALA on front side & back side",NA,NA,yes,no
ochs_000_005_216_asa_dp_no_5188_aryastasahasrika,āryāṣṭasahasrikā prajJāpāramitā,āryāṣṭasahasrikā prajJāpāramitā,Sanskrit,Devanagari,ASA Archives,"dp_no: 5188, cd_no: ASK_BL-117, ask_no: basU 04",NA,12,50.5,16.5,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_217_asa_dp_no_5189_gandavyuha,gaṇḍavyūha mahāyāna sūtra,gaṇḍavyūha mahāyāna sūtra,Sanskrit,Newa,ASA Archives,"dp_no: 5189, cd_no: ASK_BL-117, ask_no: basU 0.27",NA,8,45.5,11.5,NS956,"Paper, coat of HARTALA",figure on 1a,NA,yes,no
ochs_000_005_218_asa_dp_no_5190_gunakarandavyuha,guṇakāraṇḍavyūha,guṇakāraṇḍavyūha,Sanskrit,Newa-Devanagari,ASA Archives,"dp_no: 5190, cd_no: ASK_BL-118, ask_no: basU 0.28",NA,6,38.5,9.2,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_219_asa_dp_no_5191_gunakarandavyuha,guṇakāraṇḍavyūha sūtra,guṇakāraṇḍavyūha sūtra,Sanskrit,Newa,ASA Archives,"dp_no: 5191, cd_no: ASK_BL-118, ask_no: basU 0.30",NA,5,37,10,NA,"Paper, coat of HARTALA on front side & back side",figure on 1b ( AryAvalokiteCvara ),NA,yes,no
ochs_000_005_220_asa_dp_no_5192_gunakarandavyuha,guṇakāraṇḍavyūha sūtra,guṇakāraṇḍavyūha sūtra,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 5192, cd_no: ASK_BL-118, ask_no: basU 0.31",NA,9,48,15.2,NS1012,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_221_asa_dp_no_5193_paJcaraksa,paJcarakṣā sūtra,paJcarakṣā sūtra,Sanskrit,Ranjana,ASA Archives,"dp_no: 5193, cd_no: ASK_BL-118, ask_no: basU 0.57",NA,NA,,,NA,TP,NA,NA,yes,no
ochs_000_005_222_asa_dp_no_5194_lalitabistara,lalitabistara,lalitabistara,Sanskrit,Newa,ASA Archives,"dp_no: 5194, cd_no: ASK_BL-119, ask_no: basU 064",NA,7,37.5,10,NS781,"Paper, coat of HARTALA on front side & back side",NA,NA,yes,no
ochs_000_005_223_asa_dp_no_5195_lalitavistara,lalitavistara,lalitavistara ( nepāla bhāṣā ),Newa,Devanagari,ASA Archives,"dp_no: 5195, cd_no: ASK_BL-119, ask_no: basU 0.65",NA,11,37,16.5,VS1063,"Paper, coat of HARTALA",NA,NA,yes,no
ochs_000_005_224_asa_dp_no_5196_lamkavatara,laṃkāvatāra,laṃkāvatāra,Sanskrit,Newa,ASA Archives,"dp_no: 5196, cd_no: ASK_BL-119, ask_no: basU 0.66",NA,7,38.3,11.4,NA,"Paper, coat of HARTALA",figure on 1a ( Buddha ),NA,yes,no
ochs_000_005_225_asa_dp_no_5197_samadhiraja,samādhirāja,samādhirāja,Sanskrit,Newa,ASA Archives,"dp_no: 5197, cd_no: ASK_BL-119, ask_no: basU 0.68",NA,6,41.3,10,NS969,"Paper, coat of HARTALA",NA,NA,yes,no
ochs_000_005_226_asa_dp_no_5198_suvarnaprabha,suvarṇaprabhā sūtra,suvarṇaprabhā sūtra,Sanskrit,Ranjana,ASA Archives,"dp_no: 5198, cd_no: ASK_BL-119, ask_no: basU 0.74",NA,5,36.9,8.7,NA,NP,NA,NA,yes,no
